datum,niveau,schepcorner_id,ploegnaam,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,positie,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,klassement_thuis,klassement_uit,uitslag_thuis,uitslag_uit,score_voor_thuis,score_voor_uit,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,score_verschil_voor,periode,schepcorner_nummer,goal_lag_ploeg,goal_lag_wedstrijd
2024-09-05,kern_laag,35,Sunday ole tribute band,3.7572254335260116,3.7167630057803467,3.485549132947977,1,2,0,0,0,1,0,0,0,1,,,7,4,2,2,,,0,0,0,1,1,1.0,0.6616915422885572
2024-09-05,kern_laag,36,mvc recubela,3.7572254335260116,3.7167630057803467,3.485549132947977,0,4,0,0,1,5,1,1,0,0,,,7,4,7,4,,,0,0,3,1,2,0.0,1.0
2024-09-05,kern_laag,37,t nieuw kasteeltje,3.6436781609195403,3.7126436781609193,3.3777777777777778,1,3,0,0,1,2,0,0,0,1,,,7,3,1,2,,,0,0,1,1,1,0.6616915422885572,0.6616915422885572
2024-09-05,kern_laag,38,t nieuw kasteeltje,3.6436781609195403,3.7126436781609193,3.3777777777777778,1,4,0,0,1,2,0,0,0,1,,,7,3,2,3,,,0,0,1,1,2,1.0,1.0
2024-09-05,kern_laag,39,het gouden hoofd a,3.6436781609195403,3.7126436781609193,3.3777777777777778,0,4,0,0,1,2,1,1,0,0,,,7,3,6,3,,,0,0,3,1,3,0.6616915422885572,1.0
2024-09-05,kern_laag,40,racing sport,3.6436781609195403,3.7126436781609193,3.3777777777777778,1,3,0,0,1,5,0,0,0,0,,,5,6,3,2,,,0,0,1,1,1,0.0,0.6616915422885572
2024-09-05,kern_laag,41,gienen druk ,3.6436781609195403,3.7126436781609193,3.3777777777777778,0,3,1,0,1,5,0,0,0,1,,,5,6,3,4,,,0,0,1,1,2,1.0,0.0
2024-09-05,kern_laag,42,de leeuwen,5.0,5.0,5.0,1,2,0,0,0,2,0,0,0,1,,,9,3,4,0,,,0,0,4,1,1,1.0,0.6616915422885572
2024-09-04,kern_laag,43,enerice mvc,3.0,1.0,1.0,1,2,0,0,1,2,0,1,1,0,1,7,5,6,3,0,1.0,6,0,1,3,1,1,1.0,0.6616915422885572
2024-09-04,kern_laag,44,bbc united,3.7572254335260116,3.7167630057803467,3.485549132947977,0,2,0,0,1,2,0,0,1,0,1,7,5,6,3,0,7.0,6,0,0,3,1,2,0.6616915422885572,0.0
2024-09-04,kern_laag,45,enerice mvc,3.0,1.0,1.0,1,3,0,0,1,5,0,0,0,1,1,7,5,6,4,2,1.0,6,0,1,2,1,3,0.0,0.0
